supermarket,category,name,description,price,reference_price,reference_unit,insert_date
mercadona-es,agua_y_refrescos_refresco_de_naranja_y_de_limon,Refresco lima limón Sprite,Pack-8,3.6,1.36,L,2021-02-08 00:00:00
carrefour-es,bebidas_licores_y_cremas_licores_y_orujo,Aguardiente de orujo El Afilador 70 cl.,,10.1,14.43,l,2021-01-14 12:00:00
carrefour-es,el_mercado_panaderia_bolleria_y_pasteleria_pan_de_molde_tostado_y_picos,Regañás con aceitunas y orégano Abuelobread sin gluten y sin lactosa 50 g.,50 G.,1.07,21.4,kg,2020-12-06 01:00:00
carrefour-es,la_despensa_cestas_y_lotes_perfumeria_para_regalar,"Cesta baño Aromatherapy Gloss: Gel de ducha 300 ml, loción 300 ml, exfoliante 100 ml, bombas baño 300 g, vela 1 ud y esponja ",1 Ud.,16.5,16.5,ud,2020-11-29 01:00:00
carrefour-es,bebidas_vinos_tinto,Vino tinto Solaz V.T.Castilla 3 l.,3 L.,9.4,3.13,ud,2020-12-15 00:00:00
mercadona-es,aceite_especias_y_salsas_mayonesa_ketchup_y_mostaza,Mayonesa Hacendado,Bote,0.8,2.67,L,2020-07-24 04:00:00
dia-es,perfumeria_e_higiene_cuidado_pies_crema,SCHOLL Gel activ plantillas uso diario para mujer talla 35.5 - 40.5,,18.89,18.89,€/ud.,2020-11-02 00:00:00
dia-es,desayuno_dulces_y_pan_infusiones_menta_poleo,DIA infusión menta poleo estuche 25 bolsitas,,0.45,0.45,€/ud.,2020-11-12 00:00:00
mercadona-es,cuidado_facial_y_corporal_higiene_intima,Gel de higiene íntima Deliplus,Bote,1.3,0.26,100 ml,2020-11-04 12:00:00
mercadona-es,cuidado_del_cabello_peines_y_accesorios,Cepillo cabello térmico iónico Deliplus 25 mm,,3.0,3.0,ud,2020-11-02 12:00:00
carrefour-es,la_despensa_dulce_y_desayuno_cremas_de_cacao_avellana_y_cacahuete,Crema de cacao con leche y avellanas Carrefour 750 g.,750 G.,2.39,3.19,kg,2020-10-10 00:00:00
mercadona-es,congelados_helados,Helado sándwich de nata Hacendado,Caja,1.5,1.88,L,2020-10-31 00:00:00
carrefour-es,la_despensa_dulce_y_desayuno_cremas_de_cacao_avellana_y_cacahuete,Crema de cacao con avellanas Nutella sin gluten 200 g.,,2.1,10.5,kg,2020-12-22 00:00:00
dia-es,desayuno_dulces_y_pan_preparacion_de_postres_decoracion_y_complementos_para_postres,DR. OETKER aromatizante naranjas de valencia botella 35 ml,,3.89,111.14,€/l.,2020-09-07 04:00:00
mercadona-es,bebe_alimentacion_infantil,Papilla zanahorias baby con ternera Hero baby +6 meses,Tarrito,0.99,4.21,kg,2020-08-27 16:00:00
carrefour-es,el_mercado_quesos_rallados,Queso rallado cheddar Margui 200 g.,,1.68,8.4,kg,2021-01-11 00:00:00
carrefour-es,la_despensa_alimentacion_aceites_y_vinagres,Aceite de oliva virgen extra De Nuestra Tierra D.O Sierra Mágina - Jaén 500 ml.,500 Ml.,4.99,9.98,l,2020-11-04 01:00:00
dia-es,congelados_y_helados_helados_conos,CORNETTO Crush helado cono chocolate blanco XXL caja 4 uds 240 gr,,3.99,16.63,€/Kg.,2021-01-29 12:00:00
carrefour-es,parafarmacia_cuidado_e_higiene_facial_cremas_faciales,Fluido facial hidratante matificante DermoPure Eucerin 50 ml.,50 Ml.,17.45,34.9,100 ml,2020-11-14 16:00:00
dia-es,alimentacion_sal_especias_y_sazonadores_especias,DANI ajo molida frasco 55 gr,,1.45,26.36,€/Kg.,2020-09-27 12:00:00
carrefour-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,Zumo de naranja Don Simón sin pulpa brik 1 l.,1 L.,1.63,1.63,l,2020-10-10 12:00:00
carrefour-es,bebidas_refrescos_isotonicas,Aquarius sabor limón lata 33 cl.,,0.78,2.36,l,2021-02-09 00:00:00
mercadona-es,carne_aves_y_pollo,Cuartos traseros familiar de pollo,Bandeja,3.5,2.19,kg,2021-01-07 12:00:00
dia-es,charcuteria_y_quesos_salchichas_salchichas,WUDY salchichas con queso envase 150 g,,0.95,6.33,€/Kg.,2020-08-11 16:00:00
mercadona-es,postres_y_yogures_yogures_liquidos,Bebida láctea natural azucarada Hacendado,Botella,1.16,1.16,kg,2021-01-17 12:00:00
carrefour-es,la_despensa_dulce_y_desayuno_mermeladas_membrillos_y_compotas,Mermelada de melocotón La Vieja Fábrica 350 g.,,1.99,5.69,kg,2021-01-21 12:00:00
carrefour-es,perfumeria_e_higiene_boca_y_sonrisa_dentifricos,Dentífrico blanqueador Smile for good Colgate 75 ml.,75 Ml.,3.7,4.93,100 ml,2020-12-07 00:00:00
dia-es,drogueria_y_limpieza_accesorios_limpieza_guantes,DIA guantes desechables de látex talla 8 bolsa 10 uds,,1.65,0.16,€/ud.,2020-11-26 00:00:00
carrefour-es,el_mercado_charcuteria_foie_pates_y_sobrasadas,Bloque de hígado de pato blister Martiko 130 g.,130 G.,7.6,58.46,kg,2020-11-30 12:00:00
carrefour-es,parafarmacia_nutricion_y_dietetica_tratamientos_naturales,Complemento alimenticio próstrata Sanon 60 cápsulas.,60 Cápsulas.,5.25,14.58,100 g,2020-11-20 12:00:00
dia-es,bebidas_refrescos_refrigerados,STARBUCKS café capuccino vaso 220 ml,,1.69,7.68,€/l.,2020-11-25 12:00:00
carrefour-es,perfumeria_e_higiene_cosmetica_rostro,Sérum ácido hialurónico revitalift filler L'Oréal 30 ml.,,21.75,72.5,100ml,2021-01-15 12:00:00
carrefour-es,la_despensa_conservas_sopas_y_precocinados_caldos_sopas_y_pure,Caldo de pollo Carrefour sin gluten brik 1 l.,,0.82,0.82,l,2021-01-22 00:00:00
carrefour-es,limpieza_y_hogar_cuidado_de_la_ropa_limpiadores_y_antical_para_lavadora,Pastillas antical para lavadoras 3 en 1 en Calgon 45 ud.,45 Ud.,18.7,0.42,lavado,2020-11-09 00:00:00
carrefour-es,perfumeria_e_higiene_cosmetica_rostro,Maletin de maquillaje Camouflage Perfect Traveller Magic Studio IDC 1 ud.,1 Ud.,14.0,14.0,ud,2020-12-09 00:00:00
dia-es,desayuno_dulces_y_pan_galletas_rellenas,FILIPINOS roscos de galleta con chocolate blanco paquete 135 grs,,1.0,7.41,€/Kg.,2021-01-26 13:00:00
carrefour-es,la_despensa_dulce_y_desayuno_cafes,Café espresso en cápsulas Nescafé Dolce Gusto 16 unidades de 6 g.,16 Ud.,4.25,44.27,kg,2020-11-01 00:00:00
carrefour-es,la_despensa_dulce_y_desayuno_cafes,"Café sontuoso en cápsulas L'Or Espresso compatible con Nespresso 20 unidades de 5,2 g.",,6.35,61.06,kg,2021-01-03 00:00:00
dia-es,drogueria_y_limpieza_accesorios_limpieza_fregonas,CISNE fregona tiras microfibra bolsa 1 ud,,4.59,4.59,€/ud.,2020-09-22 14:00:00
carrefour-es,limpieza_y_hogar_cuidado_de_la_ropa_detergentes,Detergente en polvo con jabón de Marsella Carrefour 50 cacitos,,4.9,0.1,lavado,2020-12-26 12:00:00
dia-es,alimentacion_legumbres_garbanzos,DIA VEGECAMPO garbanzo pedrosillano paquete 1 Kg,,2.39,2.39,€/Kg.,2020-12-31 00:00:00
carrefour-es,la_despensa_cestas_y_lotes_cestas_de_navidad,Lote de Navidad nº 30,1 Ud.,32.0,32.0,ud,2020-10-30 12:00:00
carrefour-es,la_despensa_alimentacion_especias_y_sazonadores,Canela en rama Carmencita 5 g.,5 G.,0.66,132.0,kg,2020-12-12 00:00:00
dia-es,desayuno_dulces_y_pan_cafe_en_grano,DIA café natural en grano paquete 500 gr,,3.49,6.98,€/Kg.,2020-11-01 00:00:00
mercadona-es,fruta_y_verdura_fruta,Manzana reineta,Pieza,0.46,2.19,kg,2020-11-04 00:00:00
mercadona-es,aperitivos_aceitunas_y_encurtidos,Aceitunas rellenas de pimiento Hacendado,Pack-3,1.6,10.67,kg,2020-09-22 14:00:00
carrefour-es,el_mercado_la_cocina_de_carrefour_sushi_del_dia,Nigiri de salmón Sushi Daily,6 Pzas.,8.7,8.7,ud,2020-11-19 00:00:00
dia-es,bebidas_vinos_tintos_castillala_mancha,LOS MOLINOS vino tinto crianza DO Valdepeñas botella 75 cl,,2.25,3.0,€/l.,2020-12-21 00:00:00
carrefour-es,limpieza_y_hogar_bazar_automovil,Alfombra moqueta Lemans Dream Car - 4 piezas con talonera termosellada,,6.95,6.95,ud,2021-01-06 12:00:00
dia-es,lacteos_y_huevos_yogures_yogur_sabores,DIA yogur fresa-plátano pack 8 unidades 125 g,,0.99,0.99,€/Kg.,2020-11-08 00:00:00
carrefour-es,el_mercado_panaderia_bolleria_y_pasteleria_pan_de_molde_tostado_y_picos,Pan de molde sin corteza Carrefour 820 g.,,1.64,2.0,kg,2020-12-20 01:00:00
dia-es,desayuno_dulces_y_pan_infusiones_manzanilla,DIA manzanilla estuche 25 bolsitas,,0.39,0.39,€/ud.,2020-11-19 00:00:00
carrefour-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,Néctar de piña Juver Selección botella 85 cl.,85 Cl.,2.0,2.35,l,2020-11-04 13:00:00
carrefour-es,la_despensa_dulce_y_desayuno_chocolates_turrones_y_bombones,Chocolate con leche Milka pack de 4 tabletas de 100 g.,,2.82,7.05,kg,2021-01-28 00:00:00
carrefour-es,limpieza_y_hogar_productos_para_cocina_aditivos_y_limpiamaquinas,Limpia máquinas duo Somat 3 ud.,,2.5,0.83,ud,2021-01-05 12:00:00
dia-es,perfumeria_e_higiene_limpieza_facial_leche_y_tonicos_limpiadores,GARNIER Skinactive gel micelar todo en uno piel sensible dosificador 200 ml,,4.19,20.95,€/l.,2020-09-11 16:00:00
carrefour-es,la_despensa_alimentacion_vitaminas_y_complementos,Complemento alimenticio Lecitina de soja Vive Plus 250 g.,,4.2,16.8,kg,2021-01-04 00:00:00
mercadona-es,limpieza_y_hogar_menaje_y_conservacion_de_alimentos,Film transparente Bosque Verde,Caja,0.95,0.01,m,2020-09-15 04:00:00
mercadona-es,bodega_licores,Reavivador de ante y nobuk Bosque Verde,1 Ud.,3.8931462395917875,1.093414419421952,kg,2021-03-01 00:00:00
dia-es,la_despensa_alimentacion_vitaminas_y_complementos,Aquarius sabor limón lata 33 cl.,Bote,0.23644180050341274,0.0,kg,2021-03-01 00:00:00
dia-es,bebidas_cerveza_todas_las_cervezas,PHARMALINE gel de ducha atopic bote 750 ml,Lata,1.5124597111415585,13.310088894357374,€/Kg.,2021-03-01 00:00:00
carrefour-es,zumos_naranja,FILIPINOS roscos de galleta con chocolate blanco paquete 135 grs,500 G.,0.7330456496346445,4.841618690739227,l,2021-03-01 00:00:00
carrefour-es,limpieza_y_hogar_cuidado_de_la_ropa_limpiadores_y_antical_para_lavadora,DAEN cera depilatoria en perlas rosa mosqueta caja 200 gr,,1.4854319997404615,2.094301436244964,l,2021-03-01 00:00:00
carrefour-es,drogueria_y_limpieza_celulosa_servilletas_de_papel,Cuartos traseros familiar de pollo,,1.419218173850948,26.085727467481412,kg,2021-03-01 00:00:00
mercadona-es,panaderia_y_pasteleria_tartas_y_pasteles,CISNE fregona tiras microfibra bolsa 1 ud,1 L.,15.969480744264445,17.687922682370033,kg,2021-03-01 00:00:00
carrefour-es,lacteos_y_huevos_yogures_yogur_sabores,Café espresso en cápsulas Nescafé Dolce Gusto 16 unidades de 6 g.,,0.7562757480508723,2.2767287437707604,kg,2021-03-01 00:00:00
carrefour-es,postres_y_yogures_yogures_liquidos,Seitán tofu ecológico Carrefour Bio 250 g.,,13.199248393590688,13.728348241233073,€/l.,2021-03-01 00:00:00
dia-es,bebidas_aguas_y_zumos_agua_con_sabor,Vino D.O. Rueda blanco verdejo Dama del Lago 75 cl.,,0.8792148498966457,0.6852536089924797,kg,2021-03-01 00:00:00
carrefour-es,conservas_caldos_y_cremas_atun_y_otras_conservas_de_pescado,DR. OETKER aromatizante naranjas de valencia botella 35 ml,,4.185525152945368,48.11898005145554,l,2021-03-01 00:00:00
carrefour-es,aceite_especias_y_salsas_mayonesa_ketchup_y_mostaza,Berlina Fondant Donuts 204 g.,,2.108887339888002,2.455304015845129,kg,2021-03-01 00:00:00
dia-es,la_despensa_alimentacion_vitaminas_y_complementos,Champú cuidado clásico para cabello normal o graso Tresemmé 855 ml,3 L.,8.721700845116718,9.100423729028277,€/Kg.,2021-03-01 00:00:00
carrefour-es,bebidas_licores_y_cremas_licores_y_orujo,STARBUCKS café capuccino vaso 220 ml,Bandeja,4.813390175511695,0.5827825124166468,kg,2021-03-01 00:00:00
carrefour-es,drogueria_y_limpieza_accesorios_limpieza_guantes,Bebida láctea natural azucarada Hacendado,,1.345755829576584,2.294739003849229,L,2021-03-01 00:00:00
mercadona-es,la_despensa_conservas_sopas_y_precocinados_conservas_de_vegetales,Dentífrico blanqueador Smile for good Colgate 75 ml.,270 G.,1.3135127239433166,11.444743000336466,100 ml,2021-03-01 00:00:00
mercadona-es,la_despensa_yogures_y_postres_yogures_liquidos,Alfombra moqueta Lemans Dream Car - 4 piezas con talonera termosellada,,1.2723916787588596,2.0813902834638953,€/Kg.,2021-04-01 00:00:00
dia-es,bebe_alimentacion_infantil,SIMON LIFE naranja botella 1.5 l,5 G.,0.9124753368421589,0.00941202482580048,€/Kg.,2021-04-01 00:00:00
dia-es,limpieza_y_hogar_productos_para_cocina_aditivos_y_limpiamaquinas,Cepillo cabello térmico iónico Deliplus 25 mm,1 Ud.,11.27466844696485,15.284137130890807,,2021-04-01 00:00:00
carrefour-es,la_despensa_alimentacion_especias_y_sazonadores,DIA VEGECAMPO garbanzo pedrosillano paquete 1 Kg,,1.9765862098558813,26.86018165685088,kg,2021-04-01 00:00:00
carrefour-es,perfumeria_e_higiene_higiene_bucal_dentifricos,Zumo de naranja Don Simón sin pulpa brik 1 l.,Pack 4x120 G.,1.0167804971589365,10.84197141020366,kg,2021-04-01 00:00:00
carrefour-es,bebidas_cerveza_todas_las_cervezas,PHARMALINE gel de ducha atopic bote 750 ml,,7.037301711031602,11.428573189224592,€/Kg.,2021-04-01 00:00:00
mercadona-es,lacteos_y_huevos_yogures_yogur_sabores,DIA guantes desechables de látex talla 8 bolsa 10 uds,60 Cápsulas.,0.8750222138603279,6.020690901146661,kg,2021-04-01 00:00:00
carrefour-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,SIMON LIFE naranja botella 1.5 l,270 G.,4.532066433349182,25.416957879962734,€/ud.,2021-04-01 00:00:00
carrefour-es,marisco_y_pescado_pescado_en_bandeja,Bebida láctea sin lactosa de fresa Hacendado,25 Cl.,3.166583112878937,2.867359510361977,kg,2021-04-01 00:00:00
carrefour-es,aperitivos_aceitunas_y_encurtidos,Manzana reineta,,1.5375506613327112,11.095814013575664,€/l.,2021-04-01 00:00:00
dia-es,la_despensa_conservas_sopas_y_precocinados_croquetas_y_rebozados,Cerveza Cruzcampo Pilsen pack de 24 botellas de 25 cl.,Tarrito,1.8823906754112922,26.470312407137307,kg,2021-04-01 00:00:00
carrefour-es,parafarmacia_nutricion_y_dietetica_tratamientos_naturales,Anillas a la romana Carrefour 500 g.,Bandeja,1.584558666015514,10.042457170458013,€/l.,2021-04-01 00:00:00
carrefour-es,la_despensa_lacteos_batidos_y_horchatas,Aceite de oliva virgen extra De Nuestra Tierra D.O Sierra Mágina - Jaén 500 ml.,1 Ud.,2.80631175157047,2.9219774246247865,kg,2021-04-01 00:00:00
dia-es,bebidas_vinos_tintos_castillala_mancha,Vino D.O. Somontano tinto reserva Laus 75 cl.,,2.215298884131771,3.339537450010804,kg,2021-04-01 00:00:00
carrefour-es,bebidas_vinos_todos_los_vinos,DIA DELICIOUS mini tostas con pasas bolsa 125 gr,Bandeja,2.740490811698782,6.883059822274461,kg,2021-05-01 00:00:00
mercadona-es,agua_y_refrescos_refresco_de_naranja_y_de_limon,Regañás con aceitunas y orégano Abuelobread sin gluten y sin lactosa 50 g.,,3.475026786001819,4.732533894808615,lavado,2021-05-01 00:00:00
carrefour-es,perfumeria_e_higiene_cosmetica_labios,DIA infusión menta poleo estuche 25 bolsitas,,1.5525671325967745,10.319467349885183,l,2021-05-01 00:00:00
mercadona-es,cuidado_facial_y_corporal_higiene_intima,Escalopines de salmón sin espinas,,9.526658787497501,3.0787330701681035,ud,2021-05-01 00:00:00
mercadona-es,agua_y_refrescos_refresco_de_naranja_y_de_limon,Caldo de pollo Carrefour sin gluten brik 1 l.,75 Ml.,5.031713672771117,8.690048494140925,kg,2021-05-01 00:00:00
mercadona-es,la_despensa_alimentacion_vitaminas_y_complementos,Chorizo casero extra sarta Palacios 250 g.,,9.712172005148338,14.117068376193199,kg,2021-05-01 00:00:00
carrefour-es,parafarmacia_bebe_embarazo_y_lactancia,PHARMALINE gel de ducha atopic bote 750 ml,,2.590206659201548,6.672486456546422,kg,2021-05-01 00:00:00
mercadona-es,perfumeria_e_higiene_higiene_intima_aseo_intimo,Tomate frito Orlando sin gluten y sin lactosa pack de 3 brik de 210 g.,,14.121034982332985,0.30462041254044836,kg,2021-05-01 00:00:00
dia-es,bebidas_refrescos_isotonicas,Crema de cacao con leche y avellanas Carrefour 750 g.,,0.24248332212342658,0.0,100 ml,2021-05-01 00:00:00
mercadona-es,la_despensa_dulce_y_desayuno_mermeladas_membrillos_y_compotas,Seitán tofu ecológico Carrefour Bio 250 g.,Spray,4.106030832406113,45.45670655048096,ud,2021-05-01 00:00:00
carrefour-es,la_despensa_alimentacion_vitaminas_y_complementos,Chocolate con leche Milka pack de 4 tabletas de 100 g.,75 Ml.,1.0033330461788168,10.55329216590393,€/Kg.,2021-05-01 00:00:00
dia-es,cuidado_del_cabello_peines_y_accesorios,Arroz con leche La Ermita de San Pedro sin gluten 270 g.,,4.153548908591778,56.477430823793696,kg,2021-05-01 00:00:00
